Time,SPEI
1984 Apr,0.86
1984 May,0.67
1984 Jun,-1.08
1984 Jul,-0.08
1984 Aug,-1.26
1984 Sep,0.6
1984 Oct,0.86
1984 Nov,1.12
1984 Dec,0.85
1985 Jan,0.02
1985 Feb,1.34
1985 Mar,1.2
1985 Apr,-1.28
1985 May,-0.58
1985 Jun,0.31
1985 Jul,-0.2
1985 Aug,1.12
1985 Sep,-0.92
1985 Oct,0.5
1985 Nov,2.55
1985 Dec,0.26
1986 Jan,-2.03
1986 Feb,0.79
1986 Mar,-1.26
1986 Apr,-1.46
1986 May,0.19
1986 Jun,-0.22
1986 Jul,0.78
1986 Aug,-0.28
1986 Sep,1.07
1986 Oct,1.14
1986 Nov,-0.44
1986 Dec,-0.5
1987 Jan,-0.41
1987 Feb,-1.67
1987 Mar,-0.8
1987 Apr,-0.72
1987 May,-1.25
1987 Jun,-0.73
1987 Jul,0.21
1987 Aug,0.63
1987 Sep,-0.61
1987 Oct,-0.47
1987 Nov,0.57
1987 Dec,1.69
1988 Jan,0.14
1988 Feb,0.02
1988 Mar,0.15
1988 Apr,-1.04
1988 May,-1.45
1988 Jun,-1.86
1988 Jul,-0.77
1988 Aug,-1.11
1988 Sep,-0.64
1988 Oct,0.35
1988 Nov,1.39
1988 Dec,0.15
1989 Jan,-0.56
1989 Feb,-0.16
1989 Mar,-0.19
1989 Apr,-0.22
1989 May,-0.12
1989 Jun,-0.45
1989 Jul,0
1989 Aug,0.27
1989 Sep,0.93
1989 Oct,-0.86
1989 Nov,-0.92
1989 Dec,-1.38
1990 Jan,-0.07
1990 Feb,1.46
1990 Mar,0.13
1990 Apr,-0.42
1990 May,1.59
1990 Jun,0.91
1990 Jul,0.39
1990 Aug,0.36
1990 Sep,-0.95
1990 Oct,0.93
1990 Nov,0.74
1990 Dec,1.61
1991 Jan,-0.29
1991 Feb,-1.17
1991 Mar,0.56
1991 Apr,-0.44
1991 May,-0.1
1991 Jun,-1.6
1991 Jul,-1
1991 Aug,-0.52
1991 Sep,-0.05
1991 Oct,1.48
1991 Nov,0.92
1991 Dec,-0.09
1992 Jan,-0.69
1992 Feb,-0.49
1992 Mar,-0.41
1992 Apr,-0.27
1992 May,-1.4
1992 Jun,-0.96
1992 Jul,1.56
1992 Aug,-0.31
1992 Sep,0.85
1992 Oct,-0.86
1992 Nov,1.95
1992 Dec,0.5
1993 Jan,1.17
1993 Feb,0.04
1993 Mar,0.37
1993 Apr,1.08
1993 May,-0.46
1993 Jun,1.13
1993 Jul,1.09
1993 Aug,0.77
1993 Sep,1.75
1993 Oct,0.05
1993 Nov,0.83
1993 Dec,-0.63
1994 Jan,-0.04
1994 Feb,-0.03
1994 Mar,-1.28
1994 Apr,0.79
1994 May,-0.77
1994 Jun,-0.19
1994 Jul,-0.34
1994 Aug,0.41
1994 Sep,-0.31
1994 Oct,-0.65
1994 Nov,1.52
1994 Dec,-0.3
1995 Jan,0.96
1995 Feb,-0.98
1995 Mar,-0.53
1995 Apr,0.68
1995 May,1.78
1995 Jun,-0.4
1995 Jul,-0.44
1995 Aug,-0.01
1995 Sep,-0.87
1995 Oct,0.23
1995 Nov,0.25
1995 Dec,-0.88
1996 Jan,0.32
1996 Feb,-1.12
1996 Mar,-0.48
1996 Apr,0.65
1996 May,1.48
1996 Jun,0.16
1996 Jul,0.56
1996 Aug,-0.85
1996 Sep,0.03
1996 Oct,-0.14
1996 Nov,0.51
1996 Dec,-0.54
1997 Jan,0.48
1997 Feb,1.55
1997 Mar,-0.26
1997 Apr,-0.55
1997 May,0.42
1997 Jun,-0.04
1997 Jul,-0.68
1997 Aug,0.97
1997 Sep,-0.43
1997 Oct,-0.43
1997 Nov,0.1
1997 Dec,-0.21
1998 Jan,0.71
1998 Feb,0.38
1998 Mar,1.03
1998 Apr,0.72
1998 May,0.01
1998 Jun,1.39
1998 Jul,-0.07
1998 Aug,-0.18
1998 Sep,-0.94
1998 Oct,0.73
1998 Nov,-0.37
1998 Dec,-0.69
1999 Jan,1.36
1999 Feb,0.29
1999 Mar,-0.8
1999 Apr,0.96
1999 May,-0.27
1999 Jun,0.57
1999 Jul,-0.63
1999 Aug,-0.07
1999 Sep,-0.47
1999 Oct,-0.6
1999 Nov,-2.18
1999 Dec,0.47
2000 Jan,-0.42
2000 Feb,0.39
2000 Mar,-1.11
2000 Apr,-0.26
2000 May,-0.03
2000 Jun,1.4
2000 Jul,0.52
2000 Aug,-0.05
2000 Sep,0.38
2000 Oct,-0.54
2000 Nov,0.5
2000 Dec,-0.13
2001 Jan,-0.11
2001 Feb,1.2
2001 Mar,-1.06
2001 Apr,-0.84
2001 May,-0.08
2001 Jun,0.15
2001 Jul,0
2001 Aug,0.32
2001 Sep,0.23
2001 Oct,1.56
2001 Nov,-0.6
2001 Dec,0
2002 Jan,0.18
2002 Feb,0.17
2002 Mar,0.38
2002 Apr,0.8
2002 May,1.39
2002 Jun,-0.04
2002 Jul,-0.73
2002 Aug,0.29
2002 Sep,-0.84
2002 Oct,0.47
2002 Nov,-1.12
2002 Dec,-0.09
2003 Jan,-1.32
2003 Feb,-0.11
2003 Mar,-0.63
2003 Apr,-0.3
2003 May,0.94
2003 Jun,0.21
2003 Jul,0.74
2003 Aug,-0.77
2003 Sep,0.76
2003 Oct,-0.35
2003 Nov,1.09
2003 Dec,0.4
2004 Jan,-0.12
2004 Feb,-1.1
2004 Mar,0.71
2004 Apr,-1.29
2004 May,1.03
2004 Jun,-0.21
2004 Jul,0.47
2004 Aug,1.2
2004 Sep,-1.61
2004 Oct,1.02
2004 Nov,1.11
2004 Dec,-0.19
2005 Jan,1.78
2005 Feb,0.11
2005 Mar,-0.86
2005 Apr,-0.92
2005 May,-0.99
2005 Jun,-1.46
2005 Jul,-0.25
2005 Aug,0.04
2005 Sep,-0.09
2005 Oct,-0.99
2005 Nov,0.56
2005 Dec,-0.84
2006 Jan,0.56
2006 Feb,-0.99
2006 Mar,0.97
2006 Apr,-0.24
2006 May,-0.12
2006 Jun,-0.48
2006 Jul,0.1
2006 Aug,0.26
2006 Sep,0.26
2006 Oct,0.84
2006 Nov,0.29
2006 Dec,1.07
2007 Jan,0.73
2007 Feb,0.63
2007 Mar,-0.21
2007 Apr,0.22
2007 May,-1.41
2007 Jun,-0.07
2007 Jul,0.12
2007 Aug,-0.19
2007 Sep,-1.26
2007 Oct,0.15
2007 Nov,-0.7
2007 Dec,1.27
2008 Jan,0.46
2008 Feb,1.93
2008 Mar,0.5
2008 Apr,0.51
2008 May,0.83
2008 Jun,0.6
2008 Jul,1.12
2008 Aug,-0.62
2008 Sep,1.41
2008 Oct,-0.01
2008 Nov,-0.89
2008 Dec,1.5
2009 Jan,-0.9
2009 Feb,0.74
