Time,NAO,SPI
1959 Nov,0.06,-0.34
1959 Dec,0.41,0.38
1960 Jan,0.45,0.39
1960 Feb,0.55,0.46
1960 Mar,-1.55,-0.49
1960 Apr,-0.36,-0.09
1960 May,0.86,0.42
1960 Jun,-0.39,0.73
1960 Jul,0.9,-0.25
1960 Aug,1.24,-0.22
1960 Sep,0.51,-0.81
1960 Oct,-0.62,-0.17
1960 Nov,-1.48,-0.19
1960 Dec,0.61,-0.77
1961 Jan,0.55,-1.56
1961 Feb,-2.47,-0.16
1961 Mar,0.99,0.89
1961 Apr,-0.1,-0.12
1961 May,0.16,0.13
1961 Jun,-2.47,-0.44
1961 Jul,0.14,1.02
1961 Aug,-0.37,-0.13
1961 Sep,0.41,1.13
1961 Oct,-0.23,0.09
1961 Nov,-1.32,0.61
1961 Dec,-2.12,0.04
1962 Jan,-0.96,0.92
1962 Feb,-0.43,0.29
1962 Mar,-1.35,-0.04
1962 Apr,2.16,-1.25
1962 May,-0.43,0.36
1962 Jun,-0.77,-0.4
1962 Jul,-0.64,0.66
1962 Aug,1.79,-0.71
1962 Sep,0.94,-0.4
1962 Oct,-1.27,0.4
1962 Nov,-1.92,-1.1
1962 Dec,-0.95,-1.29
1963 Jan,-1.43,-1.26
1963 Feb,-1.2,-1.41
1963 Mar,0.36,1.09
1963 Apr,0.52,-0.41
1963 May,1.29,-0.62
1963 Jun,1.9,-1.16
1963 Jul,-1.77,0.76
1963 Aug,0.2,-0.19
1963 Sep,0.74,-1.17
1963 Oct,-0.01,-1.38
1963 Nov,-0.15,-0.12
1963 Dec,-0.12,-1.32
1964 Jan,-1.55,-0.54
1964 Feb,-1.51,-0.6
1964 Mar,0.72,0.95
1964 Apr,-0.62,1.18
1964 May,0.29,-1.24
1964 Jun,0.32,-0.14
1964 Jul,0.45,-0.1
1964 Aug,0.37,-0.59
1964 Sep,0.38,-0.2
1964 Oct,-1.66,-2.03
1964 Nov,1.37,0.29
1964 Dec,-1.74,-0.46
1965 Jan,-1.39,1.33
1965 Feb,0.56,-0.03
1965 Mar,-0.75,-0.19
1965 Apr,0.22,0.78
1965 May,1.05,-0.7
1965 Jun,0.32,-0.2
1965 Jul,-1.76,0.02
1965 Aug,-0.45,1.2
1965 Sep,-0.68,1.51
1965 Oct,-0.04,-0.82
1965 Nov,0.72,-1.09
1965 Dec,-0.89,0.55
1966 Jan,0.19,-0.4
1966 Feb,1.51,0.16
1966 Mar,0.18,-0.86
1966 Apr,-0.99,0.88
1966 May,1.4,0.34
1966 Jun,0.41,-0.89
1966 Jul,1.44,-0.84
1966 Aug,0.93,-0.35
1966 Sep,0.07,0.16
1966 Oct,0.6,-0.46
1966 Nov,-0.45,0.51
1966 Dec,0.13,1.02
1967 Jan,-1.29,0.1
1967 Feb,0.4,-0.63
1967 Mar,-1.08,-0.4
1967 Apr,-1.76,0.59
1967 May,0.33,-0.1
1967 Jun,-0.8,0.09
1967 Jul,-0.66,0.41
1967 Aug,-1.92,-0.36
1967 Sep,-2.3,-0.19
1967 Oct,-0.93,1.24
1967 Nov,-1.4,-0.18
1967 Dec,-0.83,1.31
1968 Jan,-1.55,-0.34
1968 Feb,-1.56,-0.66
1968 Mar,1.53,-0.84
1968 Apr,0.55,-0.15
1968 May,0.55,0.3
1968 Jun,0.57,0.11
1968 Jul,-1.45,-0.07
1968 Aug,2.07,-0.11
1968 Sep,0.66,0.31
1968 Oct,-0.96,-1.18
1968 Nov,-0.28,0.99
1968 Dec,-1.5,0.7
1969 Jan,0.64,1.14
1969 Feb,-0.96,-0.99
1969 Mar,-1.3,-0.76
1969 Apr,1.14,0.43
1969 May,1.55,-0.66
1969 Jun,0.1,0.86
1969 Jul,0.1,1.34
1969 Aug,-0.09,-1.02
1969 Sep,-0.92,0.23
1969 Oct,-0.6,1.42
1969 Nov,-1.2,-0.8
1969 Dec,-1.13,-0.45
1970 Jan,0.24,-1.35
1970 Feb,-0.84,-1.07
1970 Mar,-0.24,-0.4
1970 Apr,0.5,1.1
1970 May,-1.57,0.73
1970 Jun,0.24,0.84
1970 Jul,1.55,-0.27
1970 Aug,0.39,0.08
1970 Sep,0.58,1.5
1970 Oct,-0.2,0.48
1970 Nov,0.6,-0.77
1970 Dec,0.27,-0.66
1971 Jan,0.32,-0.51
1971 Feb,0.72,0.97
1971 Mar,-0.22,-1.07
1971 Apr,0.95,-1.61
1971 May,0.88,-0.38
1971 Jun,0.18,-0.56
1971 Jul,1.32,0.7
1971 Aug,-0.12,-1.13
1971 Sep,1.09,0.09
1971 Oct,0.54,-0.68
1971 Nov,0.19,-0.69
1971 Dec,0.04,1.82
1972 Jan,0.85,-0.87
1972 Feb,0.3,-0.8
1972 Mar,-0.54,0.02
1972 Apr,-0.44,0.97
1972 May,0.39,-0.84
1972 Jun,0.57,-0.13
1972 Jul,-0.06,0.19
1972 Aug,-0.3,1.07
1972 Sep,-1.24,0.86
1972 Oct,-0.93,-0.09
1972 Nov,0.32,0.97
1972 Dec,1.34,0.88
1973 Jan,-0.14,-0.04
1973 Feb,-0.03,-0.7
1973 Mar,0.51,1.65
1973 Apr,-0.24,1.3
1973 May,-0.14,0.48
1973 Jun,-0.76,0.92
1973 Jul,-0.64,0.41
1973 Aug,0.82,-0.89
1973 Sep,0.49,0.32
1973 Oct,-0.54,0.6
1973 Nov,1.5,0.38
1973 Dec,0.58,1.26
1974 Jan,-0.62,1.12
1974 Feb,-0.61,0.41
1974 Mar,-1.6,0.37
1974 Apr,-0.52,0.25
1974 May,-0.84,1.35
1974 Jun,1.55,0.87
1974 Jul,-0.26,-1.21
1974 Aug,1.56,0.43
1974 Sep,-0.54,-0.27
1974 Oct,0.41,-0.61
1974 Nov,0,0.53
1974 Dec,-0.25,0
1975 Jan,0.93,1.07
1975 Feb,0.75,1.11
1975 Mar,0.26,0.13
1975 Apr,0.96,0.44
1975 May,0.8,0
1975 Jun,-0.32,0.07
1975 Jul,1.92,-0.21
1975 Aug,-1.29,1.01
1975 Sep,-0.08,-0.25
1975 Oct,0.17,-0.58
1975 Nov,-1.6,0.24
1975 Dec,-1.04,0.37
1976 Jan,-0.49,-0.86
1976 Feb,-0.81,0.29
1976 Mar,0.65,1.08
1976 Apr,-0.86,-0.58
1976 May,-0.57,-0.22
1976 Jun,-0.45,-0.67
1976 Jul,-0.28,-0.22
1976 Aug,0.37,-0.91
1976 Sep,0.52,-0.51
1976 Oct,-0.07,0.33
1976 Nov,-1,-1.64
1976 Dec,0.66,-1.85
1977 Jan,-2.2,-0.75
1977 Feb,0.7,-0.5
1977 Mar,-1.17,1.43
1977 Apr,1.08,-1.05
1977 May,1.38,-0.5
1977 Jun,-1.14,-0.3
1977 Jul,0.64,0.22
1977 Aug,0.46,1.65
1977 Sep,1.93,0.72
1977 Oct,3.04,0.8
1977 Nov,-1.57,0.03
1977 Dec,-1.38,0.36
1978 Jan,-0.67,-0.63
1978 Feb,0.78,-1.33
1978 Mar,-1.71,-0.16
1978 Apr,-1.03,0.15
1978 May,1.6,0.43
1978 Jun,0.83,-0.55
1978 Jul,0.96,0.66
1978 Aug,1.01,-0.1
1978 Sep,-0.3,-0.29
1978 Oct,0.53,-0.46
1978 Nov,1,0.49
1978 Dec,-0.75,0.58
1979 Jan,0.05,1.04
1979 Feb,-0.31,-0.22
1979 Mar,1.29,1.02
1979 Apr,-1.5,1.18
1979 May,-0.37,-1.03
1979 Jun,-0.42,-0.63
1979 Jul,-2.24,0.88
1979 Aug,0.66,0.84
1979 Sep,-1.77,-1.91
1979 Oct,-0.37,-0.55
1979 Nov,0.78,0.47
1979 Dec,0.37,0.02
1980 Jan,0.92,-1
1980 Feb,-1.19,-0.53
1980 Mar,0.36,0.19
1980 Apr,0.2,-0.71
1980 May,-0.45,-0.62
1980 Jun,0.05,0.27
1980 Jul,0.39,-0.24
1980 Aug,-1.45,0.93
1980 Sep,-1.35,0.77
1980 Oct,-0.38,-0.3
1980 Nov,-0.02,-1.14
1980 Dec,-0.89,-0.31
1981 Jan,1.15,-1.92
1981 Feb,1.15,0.52
1981 Mar,0.1,-1.46
1981 Apr,-0.53,0.84
1981 May,-1.63,0.81
1981 Jun,1.15,0.67
1981 Jul,0.26,1.07
1981 Aug,1.76,1.07
1981 Sep,-0.74,-0.2
1981 Oct,1.6,-0.08
1981 Nov,1.78,-0.52
1981 Dec,1.59,-0.37
1982 Jan,-0.53,1.19
1982 Feb,0.95,-0.66
1982 Mar,-0.85,0.52
1982 Apr,-0.07,-0.27
1982 May,0.99,0.22
1982 Jun,1.19,-0.12
1982 Jul,1.61,1.01
1982 Aug,-1.12,-0.14
1982 Sep,0.65,-0.27
1982 Oct,-0.98,-0.02
1982 Nov,0.29,0.97
1982 Dec,1.66,2.22
1983 Jan,0.72,-1.44
1983 Feb,-0.37,-0.63
1983 Mar,-0.28,0.19
1983 Apr,0.54,1.18
1983 May,-0.42,0.62
1983 Jun,-0.07,-0.16
1983 Jul,1.15,-1.09
1983 Aug,0.17,-0.68
1983 Sep,-0.07,-0.45
1983 Oct,-0.06,0.93
1983 Nov,0,1.5
1983 Dec,-1.61,0.88
1984 Jan,-0.49,-1.25
1984 Feb,0.2,0.31
1984 Mar,0.32,0.61
1984 Apr,-0.49,0.76
1984 May,-0.8,0.45
1984 Jun,1.22,-0.94
1984 Jul,-0.48,-0.37
1984 Aug,-0.52,-1.26
1984 Sep,0.9,0.48
1984 Oct,-0.67,1.01
1984 Nov,0.22,1.08
1984 Dec,1.11,0.88
1985 Jan,-1,0.01
1985 Feb,1.71,1.31
1985 Mar,-0.59,1.31
1985 Apr,0.85,-1.03
1985 May,1.22,-0.47
1985 Jun,0.12,0.08
1985 Jul,-1.09,-0.38
1985 Aug,-1.12,0.91
1985 Sep,1.55,-0.97
1985 Oct,2.29,0.57
1985 Nov,0.99,2.49
1985 Dec,-1.15,0.21
1986 Jan,-0.73,-2.03
1986 Feb,0.14,0.77
1986 Mar,2,-1.17
1986 Apr,0.98,-1.27
1986 May,-1.82,0.3
1986 Jun,0.52,-0.14
1986 Jul,-0.83,0.98
1986 Aug,-1.22,-0.81
1986 Sep,0.14,1.18
1986 Oct,0.18,1.16
1986 Nov,0.32,-0.66
1986 Dec,1.02,-0.54
1987 Jan,0.76,-0.43
1987 Feb,-0.17,-1.6
1987 Mar,-1.17,-0.56
1987 Apr,0.63,-0.72
1987 May,0.88,-0.89
1987 Jun,-0.35,-0.51
1987 Jul,0.04,0.36
1987 Aug,-0.99,0.68
1987 Sep,-1.08,-0.67
1987 Oct,-0.34,-1.08
1987 Nov,0.61,0.73
1987 Dec,1.17,1.67
1988 Jan,2,0.12
1988 Feb,1.85,-0.03
1988 Mar,0.28,0.14
1988 Apr,1.38,-1.2
1988 May,-0.27,-1.45
1988 Jun,0.97,-1.94
1988 Jul,0.01,-0.72
1988 Aug,2.05,-0.68
1988 Sep,-0.03,-0.6
1988 Oct,0.16,-0.08
1988 Nov,-1.15,1.36
1988 Dec,1.04,0.13
1989 Jan,1.41,-0.49
1989 Feb,1.46,-0.22
1989 Mar,2,-0.26
1989 Apr,-1.53,-0.35
1989 May,-0.02,-0.42
1989 Jun,0.53,-0.66
1989 Jul,0.97,-0.05
1989 Aug,1.06,0.16
1989 Sep,0.23,0.74
1989 Oct,-0.24,-0.87
1989 Nov,0.22,-1
1989 Dec,0.86,-1.42
1990 Jan,1.04,0.06
1990 Feb,-0.2,1.5
1990 Mar,0.29,0.32
1990 Apr,0.08,-0.55
1990 May,-0.82,1.48
1990 Jun,-0.49,0.95
1990 Jul,1.23,0.3
